year,folder_address,mb,prat,food,fruits,transport,health,taxes,prod
1997,famexp_1997,pirteimb1997,pirteiprat1997,,,,,,mutzareiazmana97
1998,famexp_1998,MB98,Prat98,,,,,,Prod98
1999,famexp_1999,MB99,Prat99,,,,,,Prod99
2000,famexp_2000,MB00,Prat00,,,,,,Prod00
2001,famexp_2001,MB01,Prat01,,,,,,Prod01
2002,famexp_2002,MB02,Prat02,,,,,,Prod02
2003,famexp_2003,MB03,Prat03,,,,,,Prod03
2004,famexp_2004,H20041021datamb,H20041021dataprat,,,,,,Prod04
2005,famexp_2005,h2005102H1Mb,h2005102H1Prat,h2005102H1Food1,h2005102H1Veg,,,h2005102H1IncMissim,h2005102H1Prod
2006,famexp_2006,H20061021datamb,H20061021dataprat,H20061021datafood,H20061021dataveg,,,2006102H2DataIncMissim.sas7bdat,2006102H2DataProd.sas7bdat
2007,famexp_2007,H20071021datamb,H20071021dataprat,H20071021datafood,H20071021dataveg,,,,2007102H1DataProd
2008,famexp_2008,H20081022Datamb,H20081022dataprat,H20081022Datafood,H20081022Dataveg,H20081022Dataeducomother,H20081022DataClothHealth,H20081022Dataincmissim,H20081022Dataprod
2009,famexp_2009,H20091021datamb,H20091021dataprat,H20091021datafood,H20091021dataveg,H20091021dataeducomother,H20091021dataClothHealth,H20091021dataincmissim,H20091021dataprod
2010,famexp_2010,H20101022datamb,H20101022dataprat,H20101022datafood,H20101022dataveg,H20101022dataeducomother,H20101022dataClothHealth,H20101022dataincmissim,H20101022dataprod
2011,famexp_2011,H20111021datamb,H20111021dataprat,H20111021datafood,H20111021dataveg,H20111021dataeducomother,H20111021dataClothHealth,H20111021dataincmissim,H20111021dataprod
2012,famexp_2012,H20121022datamb,H20121022dataprat,H20121022datafood,H20121022dataveg,H20121022dataeducomother,H20121022dataClothHealth,H20121022dataincmissim,H20121022dataprod
2013,famexp_2013,H20131021datamb,H20131021dataprat,H20131021datafood,H20131021dataveg,H20131021dataeducomother,H20131021dataClothHealth,H20131021dataincmissim,H20131021dataprod
2014,famexp_2014,H20141022datamb,H20141022dataprat,H20141022datafood,H20141022dataveg,H20141022dataeducomother,H20141022dataClothHealth,H20141022dataincmissim,H20141022dataprod
2015,famexp_2015,H20151021datamb,H20151021dataprat,H20151021datafood,H20151021dataveg,H20151021dataeducomother,H20151021dataClothHealth,H20151021dataincmissim,H20151021dataprod
2016,famexp_2016_new,H20161024datamb,H20161024dataprat,H20161024datafood,H20161024dataveg,H20161024dataeducomother,H20161024dataClothHealth,H20161024dataincmissim,H20161024dataprod
2017,famexp_2017_new,H20171022datamb,H20171022dataprat,H20171022datafood,H20171022dataveg,H20171022dataeducomother,h20171022dataclothhealth,H20171022dataincmissim,h20171022dataprod
2018,famexp_2018_new,H20181023datamb,H20181023dataprat,H20181023datafood,H20181023dataveg,H20181023dataeducomother,H20181023dataClothHealth,H20181023dataincmissim,H20181023dataprod
2019,famexp_2019,H20191021datamb,H20191021dataprat,H20191021datafood,H20191021dataveg,h20191021DataComOther,H20191021dataClothHealth,H20191021dataincmissim,H20191021dataprod
